	A_mean	B_mean	A_sem	B_sem
0.0	-0.00766084242856391	-0.0200679380921649	0.023441042457385902	0.023769034992106926
0.5	-0.00028994263774811724	-0.0064415285980316435	0.0244698271964857	0.02386228257827679
1.0	0.01645846633594228	0.018001785420566893	0.026039693567529165	0.023822909019622612
1.5	0.025693540895440903	0.023490431037779407	0.02592939564480486	0.02366767539282666
2.0	0.035776702605698686	0.020542072851212498	0.025569364940568086	0.02390005115681197
2.5	0.04118891417815044	0.02971111203577334	0.023369997231087743	0.02465685054135848
3.0	0.0506870306333785	0.03603000354244305	0.02340324002731752	0.02519163652473286
3.5	0.05891277027402437	0.045267026293738716	0.02363598481381159	0.02496117413683983
4.0	0.0781740968564356	0.06308653707822186	0.024538413294763306	0.02597083896043273
4.5	0.1073852880802754	0.08233661117352972	0.026337861764281236	0.02749101303478852
5.0	0.15515761879541218	0.11753225116110488	0.028335781720058864	0.028398352209985767
5.5	0.20319485471918455	0.15820883109007863	0.030531165763065294	0.03017071176166259
6.0	0.2538721938392194	0.19552861319531734	0.03244323854227722	0.03181599979199551
6.5	0.30441032252692785	0.2385631307279555	0.032926420894830805	0.03313867306844558
7.0	0.3527175690642894	0.2774763285656492	0.034707485052931565	0.03385725006800246
7.5	0.3871231901249725	0.31073824398101924	0.03573002015109463	0.03491361969136094
8.0	0.42430376521717655	0.34514739113610604	0.03621849304714155	0.034992005969846536
8.5	0.4581053253353557	0.3738782269704521	0.037682450145677754	0.03578079713307945
9.0	0.48575434450516025	0.4019182198336833	0.03870866748194339	0.035645274794543276
9.5	0.514498249878509	0.43008328717346095	0.03910203834783062	0.03666046520776844
10.0	0.539390009650816	0.45061359762729686	0.0406044836990157	0.03663988993946321
10.5	0.5599128509633776	0.4684382403665293	0.041414776806970574	0.03704420010446673
11.0	0.5754457210047027	0.48358005807071586	0.042720648543406854	0.03766066573513269
11.5	0.5911878927367928	0.4963985096251358	0.04420977949857314	0.037145914115923634
12.0	0.5974421276476668	0.5049939835252438	0.04513142182212897	0.0373305286298809
12.5	0.6002106761388036	0.5118887563837362	0.04685825751860936	0.03813444678881328
13.0	0.6028808749359743	0.5182287557822031	0.04758597129671521	0.03818575020145119
13.5	0.6001370330407055	0.5215247517588298	0.048567845875876994	0.0376907601601887
14.0	0.5932892102770319	0.5255071224967046	0.049740495566078215	0.03825916549074144
14.5	0.5800794157456687	0.5221661350760666	0.04966012880798572	0.038719390078473276
15.0	0.5677014381677855	0.5223624667895611	0.049434443118693536	0.03802707216000818
15.5	0.5535832283110395	0.5203435879727852	0.04889091008797253	0.03831369113116781
16.0	0.5377595643959155	0.5162224724296756	0.047996859265530156	0.03811386807805015
16.5	0.5247680313066894	0.5108869101162345	0.04768503041012878	0.03810271902079743
17.0	0.5061657907209308	0.5019653506246651	0.04674781621624557	0.03886965998195833
17.5	0.4967042588779423	0.497825503798707	0.04534725339288392	0.03850305494860756
18.0	0.4795646465148688	0.48890003605658966	0.045380868531800435	0.038410805401396686
18.5	0.464855778736141	0.4808555488513861	0.04484335585739756	0.038474013174763996
19.0	0.4548599650478576	0.4744371485108241	0.0435850586016678	0.03855867334124357
19.5	0.44244396816311493	0.4719032028608267	0.043135052224171876	0.03854141151236163
20.0	0.43317074074324124	0.46488079890118245	0.04263698589602505	0.03796103248536959
20.5	0.42257224448932645	0.4587902957733405	0.04228643164613856	0.03803099893472896
21.0	0.41336767564461924	0.45357291182825316	0.042685367123502946	0.03825488046486968
21.5	0.40361563131543526	0.44944934666425823	0.04264717527007899	0.03848499379760716
22.0	0.3965338974132431	0.44658170528602154	0.04238303852624184	0.038200188014434824
22.5	0.38709063766232554	0.44212184673767974	0.04237778267372155	0.03773051429144215
23.0	0.3816589753477995	0.44239539450808735	0.04192598419567922	0.037891174993815224
23.5	0.3716907116982331	0.4379926616658796	0.04244897045006575	0.038316256303498906
24.0	0.36142200734697544	0.4322526554594621	0.042529086592661504	0.03706022337203566
24.5	0.35230026803067255	0.4278217003859927	0.04255857959092875	0.037791054603020686
25.0	0.34413185885140035	0.42422359811028953	0.04296989531967345	0.037925288623176345
25.5	0.33927285047949024	0.42593408335487504	0.04207909245141875	0.03810613829086809
26.0	0.3284830446472221	0.418049685783513	0.04272511693605413	0.03804572952733386
26.5	0.3204562707815796	0.4126734477757393	0.0430126935215831	0.03746392163011523
27.0	0.3139736832938748	0.4107682954093701	0.0432099702958571	0.037892269055685386
27.5	0.30614262506579515	0.4081924230065046	0.043464024801415584	0.03715241065356862
28.0	0.2961033282434619	0.40070607263766655	0.04278711670342706	0.03709348330319424
28.5	0.28857844004221694	0.39521899426291557	0.042856330126225944	0.03784608857561519
29.0	0.2802428198499204	0.3910440675142526	0.04334798208282607	0.03754953755963008
29.5	0.2742741376418927	0.38744755138768333	0.04285025045678008	0.037551141510639395
30.0	0.2694446858295923	0.384219166274983	0.042850288446651	0.03725453122016454
30.5	0.2586780279995278	0.3745657276843821	0.042712028855385414	0.03794772801933575
31.0	0.25336482584322845	0.37460079855602024	0.042555657206998804	0.03684416632668098
31.5	0.24392050892773476	0.36706560641944913	0.040777753011426866	0.03703239630065633
32.0	0.24133650042055585	0.3660689619004767	0.040977473750818075	0.03658063006056942
32.5	0.23084867819512814	0.3589710036597428	0.04035098642391145	0.03629168629387029
33.0	0.22501978769903586	0.35239681434990716	0.03999604579012843	0.03647689262714205
33.5	0.2169570346369404	0.3445995433510902	0.04068411310387678	0.0354010396636689
34.0	0.20916729130962838	0.34200281688856143	0.04008553762625501	0.03510638082330637
34.5	0.20535741680425448	0.3330503455910137	0.038753254977324895	0.035400757317497124
35.0	0.19455017720981507	0.32086507547843296	0.04010522915570007	0.03508766060598549
35.5	0.1883637207081671	0.3163108786688318	0.03956116026437778	0.03478202283081075
36.0	0.18287007608631653	0.3128836802413164	0.039369017412335616	0.03487918716226857
36.5	0.178729280708581	0.30761747665332523	0.03897651252333476	0.03498854613578861
37.0	0.17144983168765146	0.30162561124450155	0.038869274326602136	0.034365848741955064
37.5	0.16545046616279246	0.29434974523912777	0.03905688349977315	0.034590331723086794
38.0	0.16009220296983662	0.2842369708526475	0.039064393780623596	0.03453812843237135
38.5	0.1556428319929051	0.28074501164150306	0.03878667666049442	0.03456688192606451
39.0	0.15242615855808603	0.27727610127309954	0.038639502036898685	0.03465378695045915
39.5	0.14321896088137526	0.2662868360809973	0.03912146390660112	0.034537063766769
40.0	0.14091346817448083	0.2615542483809359	0.03831788411682297	0.03480621828900996
40.5	0.13284246194761073	0.25832520052902747	0.038159506611231485	0.03469482978686576
41.0	0.13239459666897205	0.24946831533311764	0.0377299270875953	0.034726924775886736
41.5	0.12467524650345248	0.24284874518227303	0.03783063469081364	0.03481209177744038
42.0	0.12421127656148571	0.24165788629598062	0.03723823523658946	0.03438823723194276
42.5	0.11382230847613488	0.2305468108442095	0.03774315418803055	0.03490788785497853
43.0	0.11574397742992894	0.22963461780477198	0.03691727683881592	0.03460628983728214
43.5	0.10845520741950354	0.22186385778222925	0.037076891734890635	0.03461950076852058
44.0	0.10639849413876123	0.21795948129185835	0.03653717808348013	0.03485960064026515
44.5	0.09959077021477657	0.21096278919987665	0.03656980744909566	0.034261545738295325
45.0	0.09611844296817272	0.20409353974572741	0.03608028647285199	0.03418358060982302
45.5	0.08409748913639008	0.1969923884898399	0.03734398149125419	0.03447656364880583
46.0	0.08334243206606758	0.19614142008288712	0.0372827792740047	0.03455732156436834
46.5	0.07155116091563332	0.18429022523993757	0.038575376474028686	0.034619895773833786
47.0	0.0739832915199742	0.1833796461062381	0.04016855997202	0.03507180661982059
47.5	0.0694561632323482	0.17444703566464784	0.040237227040193925	0.034838278654771786
48.0	0.06432994645706112	0.16833048698648886	0.040696353267349626	0.03511571873076283
48.5	0.06507849560937984	0.1639513488669039	0.04022078226232903	0.0348141492700017
49.0	0.05954580669766374	0.16073756654388446	0.04171341483829182	0.034586820568428205
49.5	0.05838430866680821	0.15631103502835353	0.041779819790300994	0.03489258741399706
50.0	0.055675584306454244	0.1503706866814084	0.04164137264270811	0.03443791480282046
50.5	0.0616164652583838	0.1509885943478315	0.041396465916748865	0.03474852671698447
51.0	0.053777938090164755	0.14121530917673908	0.04160572512182579	0.03486578409149342
51.5	0.05712935294290412	0.14318070906267233	0.04114953988501849	0.03480023946720172
52.0	0.056107463591304495	0.1352622818945979	0.041668674994576646	0.03475983735715583
52.5	0.049951931164858625	0.12977107804370094	0.04195645480071649	0.03392000638077281
53.0	0.051961164561685515	0.12465773711459172	0.041279248797862135	0.03438358495729662
53.5	0.05195868818987003	0.1242340651357788	0.04188888678265369	0.0338902464430153
54.0	0.049784940997858816	0.1181214864565554	0.04182356082537805	0.03467307219338129
54.5	0.05043719223243689	0.11504100663300533	0.04180341789601524	0.03375264807778294
55.0	0.054174877039870235	0.11644274491153427	0.04202262113221653	0.034154605893322254
55.5	0.054665775312847664	0.11266585007914959	0.04166707345138777	0.03413948475933673
56.0	0.06061341761264511	0.10300539389492913	0.04175257542169839	0.03593929214777494
56.5	0.05537913251037083	0.0948527957221581	0.04106584709828185	0.03593902302459357
57.0	0.05897800935623826	0.09551292983232033	0.04125252211807548	0.036354045037945815
57.5	0.06202411825729882	0.09665187984611888	0.04146022381442424	0.036676996186068865
58.0	0.05867816642721061	0.08675211145025123	0.04164336983776246	0.03619329590347557
58.5	0.060851267976472716	0.08690474119501973	0.04164373483737642	0.035565258751837574
59.0	0.061560704050819835	0.08716463754341147	0.04211678148454325	0.0357587539253198
59.5	0.06311332059216736	0.0793361387558251	0.04192718485317643	0.03529678465026453
60.0	0.06599047001527579	0.07196244178316734	0.0421214984734431	0.037056483351488805
60.5	0.06780936511376066	0.07471203834656587	0.04163573008667214	0.03683770287617168
61.0	0.07228082169881454	0.07350922621948214	0.041956177951459964	0.036487851981082564
61.5	0.07280418091809893	0.06966902903199627	0.04163496039578618	0.036199654448988004
62.0	0.08384084332770843	0.07154476402404622	0.04094118604110829	0.03642314288060765
62.5	0.07659336046144649	0.06584750137897172	0.041533256332073755	0.035818136365397796
63.0	0.08407207293690232	0.06695340796004529	0.04085306705907618	0.03595575615185884
63.5	0.08133223804937453	0.06007445274550325	0.04085303014894469	0.03576438819942877
64.0	0.08225061517976721	0.05613452064859526	0.041053613916266864	0.03617154268837083
64.5	0.08260562214709942	0.053374573687728764	0.040987691927603445	0.035080849648719
65.0	0.08603573361010902	0.05521649309050738	0.04054192878970457	0.03516138333555015
65.5	0.08958884665428396	0.05805949545417296	0.04079008444931282	0.03483301804841682
66.0	0.08780696337838105	0.05251446651942032	0.04099532269629275	0.03499736148557644
66.5	0.08887615058689051	0.04921041408786588	0.04122318064608625	0.03401969958297632
67.0	0.09010348064538808	0.049954006876126965	0.040548890501231206	0.03467077172117753
67.5	0.08877193258362526	0.048213587139618236	0.04029302014975184	0.034025871233749005
68.0	0.09239533942899512	0.04902745140311001	0.040949866610061225	0.03386868331043329
68.5	0.09329649559784853	0.04837078546052528	0.04068111395194982	0.033343522428662314
69.0	0.09575835050823307	0.04753444880666615	0.04128462323099269	0.03404057345396484
69.5	0.09828181260951625	0.0483869196906708	0.04037575691061912	0.03278063775577114
70.0	0.10145399824189545	0.05110798910243161	0.040513427794867905	0.03232925742789281
70.5	0.10094126758952521	0.04464207468503568	0.040199157946889545	0.03330695200650836
71.0	0.10200850379035026	0.048868440053000284	0.040214265992624315	0.03331292016238346
71.5	0.10540415603268738	0.049089714293498454	0.04023780692594393	0.032406975769356194
72.0	0.10434637035217771	0.04644687365243344	0.040147229201980696	0.032506338043739445
72.5	0.10710522012264027	0.052204489815118195	0.03986823969154123	0.03236172516468426
73.0	0.1106661293532951	0.0558909383448718	0.03946806255788943	0.031840093681552835
73.5	0.1068633012038188	0.052528790938520115	0.03937102797713845	0.03208771658469873
74.0	0.10988379538533133	0.05467359664117915	0.03976937225510052	0.03151101462959825
74.5	0.11471722483968992	0.05922236140289041	0.03930038992149747	0.03172011869504455
75.0	0.1126395881077738	0.05410415441925445	0.03970428113538709	0.03152492739483769
75.5	0.11590875028675211	0.05914509124071263	0.03904739506245385	0.031920785529108674
76.0	0.1176509333721648	0.06008231068037063	0.038950494580393756	0.03129229903856998
76.5	0.11872342522564892	0.06036925523612139	0.03883698875290598	0.031851441276839226
77.0	0.1237743395406321	0.06595284794967171	0.03922554670604545	0.030991280544192562
77.5	0.12261393085592293	0.06678888169450266	0.038887134206272815	0.03099198312725796
78.0	0.11802034581592631	0.0625148648746273	0.039753604004171224	0.03114530597320252
78.5	0.12106780694633353	0.062349194755404125	0.039532572975091794	0.03152263348811976
79.0	0.12238824331536169	0.0668332999042972	0.039376950860635855	0.031448130560599794
79.5	0.1234100061531641	0.06476396199475817	0.03882213166378742	0.03188734181263596
80.0	0.1264659565806162	0.06856833164144	0.03875102922521697	0.032343408341664694
80.5	0.12595424708969058	0.06575155564828825	0.03900331924013331	0.03216361229243446
81.0	0.13003909782491302	0.07205999639121842	0.03843075123748821	0.03220696247868039
